region,year,male_40_64_suicide_deaths,male_40_64_population_est_from_suicide,male_40_64_suicide_rate
전라남도,2016,210.0,376097.41885126254,55.836596975702705
전라남도,2017,137.0,378827.55707569147,36.1642117742313
전라남도,2018,202.0,381218.16002106946,52.988031836897726
전라남도,2019,169.0,383102.9477464301,44.11346897593137
전라남도,2020,189.0,383596.76625944703,49.270488341960935
전라남도,2021,201.0,384238.35544876795,52.311279483081215
전라남도,2022,162.0,384455.165335527,42.13755324593367
전라남도,2023,180.0,382153.31947318645,47.101514190204384
전라남도,2024,224.0,377204.5674922657,59.38422259549998
전라북도,1996,51.0,250544.05283817762,20.3557016908879
전라북도,1997,55.0,256147.8750196265,21.471971998903292
전라북도,1998,108.0,261196.1717798553,41.34823235120994
전라북도,1999,105.0,266964.4285542172,39.33108263473228
전라북도,2000,95.0,273404.4054193286,34.74706263576683
전라북도,2001,118.0,280107.5991539778,42.12666859321238
전라북도,2002,127.0,285715.2947090046,44.449843026200966
전라북도,2003,179.0,289694.36692618695,61.789258071976434
전라북도,2004,169.0,292445.7484876727,57.78849611387794
전라북도,2005,148.0,296230.45868148707,49.96110145416632
전라북도,2006,151.0,301044.1248829584,50.15875996872771
전라북도,2007,171.0,304346.69460377336,56.185923169832215
전라북도,2008,166.0,309677.2605444806,53.604194156243686
전라북도,2009,176.0,317938.3035022813,55.35665192311034
전라북도,2010,170.0,326015.99308993825,52.14468112093568
전라북도,2011,228.0,334759.00541908224,68.10869799143074
전라북도,2012,169.0,341553.0213390868,49.47987265269139
전라북도,2013,183.0,346967.1229680168,52.742749351750206
전라북도,2014,196.0,352913.61674647836,55.53767004144813
전라북도,2015,164.0,357340.94735298515,45.89454447211701
전라북도,2016,193.0,360304.4520964138,53.565810490833215
전라북도,2017,191.0,362843.133243019,52.63982765579175
전라북도,2018,211.0,364514.1212874922,57.885274582705215
전라북도,2019,185.0,364844.2919269317,50.70656279776755
전라북도,2020,176.0,363937.34935474815,48.35997193254378
전라북도,2021,197.0,362853.93244427274,54.29181893467707
전라북도,2022,171.0,361642.6686020269,47.28424349400501
전라북도,2023,144.0,359488.63926647196,40.056898680811884
전라북도,2024,209.0,355159.3127857304,58.846830837881164
제주도,1996,29.0,61067.10550838356,47.48874170238633
제주도,1997,23.0,63473.52866621546,36.235578017016756
제주도,1998,40.0,65873.36131226122,60.72257313603136
제주도,1999,45.0,68220.5047440029,65.96257264419586
제주도,2000,35.0,70693.260297588,49.50967016185866
제주도,2001,34.0,73476.02635185416,46.27359655676591
제주도,2002,37.0,76376.99279902311,48.44390783669771
제주도,2003,61.0,79071.1822140127,77.14567847853652
제주도,2004,53.0,81722.13739345982,64.85390824376745
제주도,2005,60.0,84348.3421218936,71.1335854275508
제주도,2006,43.0,87061.55164163269,49.39034417511745
제주도,2007,45.0,89576.77364943812,50.23623665673547
제주도,2008,52.0,92116.53052463551,56.45023722001036
제주도,2009,68.0,95122.05074793844,71.48710468847177
제주도,2010,63.0,98313.07652205385,64.08099738987181
제주도,2011,53.0,101712.52695069744,52.10764257748743
제주도,2012,60.0,105495.29490517348,56.87457441010254
제주도,2013,75.0,109293.96716382689,68.62226886464673
제주도,2014,59.0,113763.56210791232,51.86194850688181
제주도,2015,57.0,118918.33329061662,47.932054228090706
제주도,2016,55.0,124478.91174339749,44.18419090406071
제주도,2017,61.0,129734.87811025837,47.018967365242865
제주도,2018,79.0,133662.49353488456,59.10408964455074
제주도,2019,99.0,136384.02879030805,72.58914469539069
제주도,2020,78.0,138055.25603030602,56.499116544231654
제주도,2021,79.0,139590.35714560622,56.594167115422856
제주도,2022,68.0,141265.20132518062,48.13641247958138
제주도,2023,79.0,142084.38576214347,55.60076117881808
제주도,2024,103.0,141358.50847907152,72.8643794478416
충청남도,1996,85.0,244452.68326877424,34.77155532244374
충청남도,1997,90.0,249862.21807009573,36.019851538639436
충청남도,1998,132.0,255068.6316446322,51.7507774863926
충청남도,1999,131.0,260474.62644478085,50.29280655395095
충청남도,2000,151.0,266956.6574538027,56.56348915970781
충청남도,2001,143.0,274325.30410582665,52.12789263685088
충청남도,2002,140.0,281493.8801848247,49.734651392093525
충청남도,2003,195.0,286913.7268862402,67.96468127065823
충청남도,2004,213.0,294382.2153660911,72.35491442141472
충청남도,2005,195.0,304214.0172870137,64.09961044498004
충청남도,2006,179.0,313377.9472858305,57.1195266132543
충청남도,2007,213.0,321508.1911143811,66.25025610132037
충청남도,2008,204.0,332261.85971898347,61.39735694386853
충청남도,2009,251.0,344929.5236736373,72.76848827747467
충청남도,2010,260.0,357473.9725819238,72.73256794672365
충청남도,2011,249.0,371223.48140854825,67.0754983104003
충청남도,2012,224.0,365961.1151986207,61.20868876422209
충청남도,2013,245.0,375163.3710126046,65.30488286708794
충청남도,2014,223.0,384723.3640248116,57.96372688860619
충청남도,2015,228.0,392799.75546210224,58.04484265316649
충청남도,2016,215.0,401360.57734677073,53.56779218857925
충청남도,2017,219.0,410049.689323641,53.40816142580937
충청남도,2018,253.0,418187.010227337,60.49924885578412
충청남도,2019,266.0,424516.06532507064,62.65958387141652
충청남도,2020,262.0,429531.2174176643,60.99673070915319
충청남도,2021,220.0,435276.08270051435,50.542634604476525
충청남도,2022,248.0,441180.3154220185,56.21284344084377
충청남도,2023,236.0,445801.24580891785,52.93838952194311
충청남도,2024,290.0,447459.9238425506,64.81027340049415
충청북도,1996,53.0,176269.85847471614,30.067534210678584
충청북도,1997,61.0,183217.515785665,33.29376000892851
충청북도,1998,98.0,190271.60652348062,51.505320100351504
충청북도,1999,91.0,196756.4412956304,46.250074152983245
충청북도,2000,86.0,203310.61323716107,42.299808470737
충청북도,2001,110.0,210074.30114223622,52.362425771214
충청북도,2002,114.0,217305.71806307154,52.46065359721103
충청북도,2003,157.0,222659.03560438976,70.51139854883334
충청북도,2004,147.0,227127.3298476048,64.72140543308122
충청북도,2005,167.0,232785.2390880682,71.7399439303881
충청북도,2006,119.0,239659.3681406561,49.65380695244047
충청북도,2007,129.0,246172.5255151065,52.40227345845053
충청북도,2008,155.0,253959.06542888624,61.03345818281222
충청북도,2009,180.0,263261.6262162879,68.37304873750091
충청북도,2010,170.0,272367.43335292133,62.415685277513234
충청북도,2011,204.0,281686.312727948,72.42098418783405
충청북도,2012,163.0,288780.07119693083,56.444338185942094
충청북도,2013,194.0,295623.9925217025,65.62390229059571
충청북도,2014,194.0,302615.5431211411,64.10774476390301
충청북도,2015,169.0,308738.8162175589,54.738824897518164
충청북도,2016,179.0,314844.54397358693,56.853454641734785
충청북도,2017,150.0,319405.16165924404,46.9622967959506
충청북도,2018,187.0,322503.37138924625,57.983889965075704
충청북도,2019,187.0,325719.42509236775,57.41137481959217
충청북도,2020,140.0,328309.4738924092,42.64269268266063
충청북도,2021,156.0,330000.6571412721,47.272633136974925
충청북도,2022,130.0,330968.02700390585,39.278718605185944
충청북도,2023,183.0,330434.5850427113,55.38161205987134
충청북도,2024,185.0,328390.5597445591,56.335358770332356
