age_band_2024,profile_2022,profile_2024,n,weighted_share
60 - 64세,low_income_only,alcohol_only,7,0.01533550823069209
60 - 64세,psych_low_income,low_income_only,8,0.01524728579938573
60 - 64세,psych_only,depression_alcohol,6,0.01336031819382557
60 - 64세,psych_low_income,lower_observed_risk,6,0.012940902410635795
60 - 64세,compound_psych_alcohol_low_income,psych_low_income,6,0.011469202799555179
60 - 64세,lower_observed_risk,compound_psych_alcohol_low_income,2,0.01078675157827132
60 - 64세,lower_observed_risk,psych_low_income,5,0.009350182687124522
60 - 64세,alcohol_only,psych_only,4,0.009247682041342669
60 - 64세,psych_only,psych_low_income,5,0.008688224489876958
60 - 64세,alcohol_only,low_income_only,5,0.008652844899540138
60 - 64세,compound_psych_alcohol_low_income,low_income_only,4,0.007813151755477995
60 - 64세,psych_low_income,alcohol_only,3,0.006998349011128646
60 - 64세,psych_only,low_income_only,4,0.006734233616090052
60 - 64세,lower_observed_risk,low_self_esteem_alcohol,4,0.006726036282958672
60 - 64세,alcohol_only,psych_low_income,3,0.006553301119461426
60 - 64세,low_income_only,psych_only,3,0.006277801778885415
60 - 64세,depression_alcohol,depression_alcohol,3,0.006211748014925991
60 - 64세,depression_alcohol,low_income_only,2,0.005349311704594353
60 - 64세,low_self_esteem_alcohol,alcohol_only,2,0.005281182200265603
60 - 64세,compound_psych_alcohol_low_income,alcohol_only,3,0.004779002464533691
60 - 64세,depression_alcohol,lower_observed_risk,3,0.004509694558539513
60 - 64세,psych_low_income,compound_psych_alcohol_low_income,1,0.004474430725811755
60 - 64세,depression_alcohol,psych_only,2,0.0042979828676357355
60 - 64세,psych_only,alcohol_only,2,0.0035815739351878367
60 - 64세,depression_alcohol,low_self_esteem_alcohol,1,0.0035496875904717437
60 - 64세,low_self_esteem_alcohol,low_self_esteem_alcohol,1,0.0033626421225261697
60 - 64세,compound_psych_alcohol_low_income,depression_alcohol,1,0.0023647123136785707
60 - 64세,low_self_esteem_alcohol,psych_only,1,0.002054674764615551
60 - 64세,compound_psych_alcohol_low_income,lower_observed_risk,2,0.0010627924988487276
60 - 64세,alcohol_only,low_self_esteem_alcohol,2,0.0009188100647029619
all,lower_observed_risk,lower_observed_risk,561,0.2756260698658308
all,alcohol_only,alcohol_only,277,0.1288365283114953
all,lower_observed_risk,alcohol_only,157,0.07690056473339923
all,alcohol_only,lower_observed_risk,143,0.06455002065346929
all,lower_observed_risk,psych_only,93,0.04557133835498005
all,psych_only,lower_observed_risk,65,0.03767954796732008
all,low_income_only,low_income_only,75,0.036684478604327025
all,psych_only,psych_only,51,0.027049498057126448
all,low_income_only,lower_observed_risk,50,0.023711294634987102
all,psych_low_income,psych_low_income,47,0.022629761186440344
all,depression_alcohol,alcohol_only,33,0.01871945859972979
all,psych_low_income,low_income_only,29,0.01625195204201014
all,alcohol_only,depression_alcohol,33,0.01591279899569399
all,lower_observed_risk,depression_alcohol,30,0.015376655689628926
all,lower_observed_risk,low_income_only,31,0.013889009735652174
all,low_income_only,psych_low_income,24,0.011294718750560859
all,depression_alcohol,depression_alcohol,19,0.00976661044059176
all,compound_psych_alcohol_low_income,compound_psych_alcohol_low_income,21,0.009762841423421521
all,depression_alcohol,lower_observed_risk,19,0.009546763785874787
all,alcohol_only,psych_only,22,0.008976209600138495
all,compound_psych_alcohol_low_income,psych_low_income,14,0.00721500203888234
all,alcohol_only,low_self_esteem_alcohol,17,0.007025155292672214
all,psych_low_income,psych_only,13,0.0068496064105197235
all,psych_low_income,lower_observed_risk,14,0.005713873197671468
all,low_self_esteem_alcohol,psych_only,7,0.0054754556584073145
all,depression_alcohol,psych_only,10,0.005394998454154515
all,low_self_esteem_alcohol,alcohol_only,11,0.0052852310782950706
all,alcohol_only,compound_psych_alcohol_low_income,12,0.005264869217681782
all,lower_observed_risk,psych_low_income,11,0.004743847986882421
all,low_income_only,psych_only,13,0.004455838086382414
all,alcohol_only,low_income_only,11,0.004288764129266042
all,low_income_only,alcohol_only,11,0.004242682089916308
all,low_self_esteem_alcohol,lower_observed_risk,8,0.0041703793121489734
all,psych_low_income,alcohol_only,8,0.004131096689688249
all,psych_only,alcohol_only,10,0.0041235733501982065
all,psych_only,low_income_only,8,0.004012759498295365
all,psych_only,depression_alcohol,7,0.003742768320184097
all,depression_alcohol,low_income_only,7,0.003708865549098973
all,depression_alcohol,low_self_esteem_alcohol,7,0.0036975286304978486
all,compound_psych_alcohol_low_income,alcohol_only,9,0.003533457871618901
all,psych_only,psych_low_income,8,0.0034380830912350852
all,compound_psych_alcohol_low_income,low_income_only,7,0.0034299136179446956
all,low_self_esteem_alcohol,depression_alcohol,6,0.0032952662295262047
all,lower_observed_risk,compound_psych_alcohol_low_income,3,0.002679485815088396
all,lower_observed_risk,low_self_esteem_alcohol,8,0.002613207569476547
all,compound_psych_alcohol_low_income,depression_alcohol,5,0.0022988793402319444
all,alcohol_only,psych_low_income,6,0.002210702899800311
all,psych_only,low_self_esteem_alcohol,4,0.002094095115409677
all,low_self_esteem_alcohol,low_self_esteem_alcohol,4,0.001879772124277988
all,compound_psych_alcohol_low_income,lower_observed_risk,5,0.0017675126742097928
all,low_income_only,compound_psych_alcohol_low_income,3,0.001717088112215756
all,psych_low_income,compound_psych_alcohol_low_income,4,0.0015774846950105525
all,low_income_only,low_self_esteem_alcohol,4,0.0014378008974978368
all,low_income_only,depression_alcohol,1,0.0012962823979761314
all,psych_low_income,low_self_esteem_alcohol,2,0.0009570379426143724
all,compound_psych_alcohol_low_income,low_self_esteem_alcohol,1,0.0009196454558415471
all,low_self_esteem_alcohol,compound_psych_alcohol_low_income,1,0.0002915750321873981
all,compound_psych_alcohol_low_income,psych_only,1,0.000143159055414556
all,depression_alcohol,psych_low_income,1,0.0001411336389008727
