year,코드,시도,시군구,지역,CHS_No,주관적 건강수준인지율_조율,주관적 건강수준인지율_표준화율,주관적 건강인지율_남성노인_조율,주관적 건강인지율_남성노인_표준화,주관적 건강인지율_여성노인_조율,주관적 건강인지율_여성노인_표준화,스트레스인지율_조율,스트레스인지율_표준화율,우울감경험률_조율,우울감경험률_표준화율,스트레스인지율_청소년,우울감경험률_청소년,스트레스로인한정신상담률_조율,스트레스로인한정신상담률_표준화율,우울증상으로인한정신상담률_조율,우울증상으로인한정신상담률_표준화율,기분상태및우울_40세_1차검진_특이소견없음,기분상태및우울_40세_1차검진_2차추가진단필요,기분상태및우울_40세_2차검진_특이소견없음,기분상태및우울_40세_2차검진_경계상태,기분상태및우울_40세_2차검진_우울증의심,기분상태및우울_66세_1차검진_특이소견없음,기분상태및우울_66세_1차검진_2차추가진단필요,기분상태및우울_66세_2차검진_특이소견없음,기분상태및우울_66세_2차검진_경계상태,기분상태및우울_66세_2차검진_우울증의심,지역안전등급_자살,행복감지수_조율,행복감지수_표준화율,고의적자해(자살)_사망자수_전체,고의적자해(자살)_사망률_전체,고의적자해(자살)_표준화사망률_전체,고의적자해(자살)_사망자수_남자,고의적자해(자살)_사망률_남자,고의적자해(자살)_표준화사망률_남자,고의적자해(자살)_사망자수_여자,고의적자해(자살)_사망률_여자,고의적자해(자살)_표준화사망률_여자,자살생각률_조율,자살생각률_표준화율,자살시도율_조율,자살시도율_표준화율,지역안정등급_자살,스트레스 인지율_조율,스트레스 인지율_표준화율,우울감 경험률_조율,우울감 경험률_표준화율,삶의 질 지수(EQ-5D)_조율,삶의 질 지수(EQ-5D)_표준화율,스트레스로 인한 정신상담률_조율,스트레스로 인한 정신상담률_표준화율,스트레스 인지율_청소년,우울감 경험률_청소년,우울증상으로 인한 정신상담률_조율,우울증상으로 인한 정신상담률_표준화율,행복감 지수_조율,행복감 지수_표준화율
2018,31,경기도,경기도,경기도,H  ,39.9,41.6,32.6,33.2,20.8,21.8,27.6,28.4,6.4,6.2,41.6,28.8,7.6,7.6,21.1,21.2,,,,,,,,,,,1.0,,,3111.0,24.2,21.0,2258.0,34.9,30.9,853.0,13.3,11.6,,,,,,,,,,,,,,,,,,,
2018,32,강원도,강원도,강원도,I  ,40.4,45.2,30.6,32.0,18.1,19.5,25.0,27.0,5.8,5.3,40.9,25.2,7.5,7.4,18.0,18.9,,,,,,,,,,,4.0,,,507.0,33.1,26.1,366.0,47.4,37.4,141.0,18.5,15.5,,,,,,,,,,,,,,,,,,,
2018,33,충청북도,충청북도,충청북도,J  ,40.6,43.7,32.7,33.2,20.3,21.3,25.5,27.1,5.8,5.7,41.8,26.2,8.2,8.2,22.2,22.0,,,,,,,,,,,3.0,,,493.0,31.1,26.7,372.0,46.4,40.0,121.0,15.4,13.1,,,,,,,,,,,,,,,,,,,
2018,34,충청남도,충청남도,충청남도,K  ,37.3,40.5,28.3,29.5,18.3,20.4,26.0,26.9,7.4,6.8,40.0,24.6,7.5,7.2,17.9,18.1,,,,,,,,,,,5.0,,,749.0,35.5,29.8,546.0,50.9,42.4,203.0,19.6,17.0,,,,,,,,,,,,,,,,,,,
2018,35,전라북도,전라북도,전라북도,L  ,34.9,38.1,30.1,30.7,15.5,16.8,26.4,28.7,9.5,8.7,40.9,27.1,7.9,7.6,18.3,17.8,,,,,,,,,,,4.0,,,544.0,29.7,25.8,399.0,43.7,36.9,145.0,15.7,15.1,,,,,,,,,,,,,,,,,,,
2018,36,전라남도,전라남도,전라남도,M  ,38.6,43.8,30.9,32.2,16.8,17.8,23.3,25.4,4.8,4.4,38.8,26.5,5.7,5.4,15.7,16.7,,,,,,,,,,,3.0,,,525.0,28.0,23.5,400.0,42.6,35.2,125.0,13.3,11.5,,,,,,,,,,,,,,,,,,,
2018,37,경상북도,경상북도,경상북도,N  ,34.3,38.8,24.8,25.8,14.0,15.0,22.6,24.5,5.3,5.3,39.8,24.3,8.8,8.9,21.0,21.0,,,,,,,,,,,3.0,,,790.0,29.6,24.3,579.0,43.2,34.7,211.0,15.9,14.1,,,,,,,,,,,,,,,,,,,
2018,38,경상남도,경상남도,경상남도,O  ,35.1,38.1,28.6,29.2,14.8,15.7,23.4,25.0,5.4,5.2,38.0,25.9,8.1,8.1,23.4,23.8,,,,,,,,,,,2.0,,,971.0,28.9,24.8,729.0,43.2,37.2,242.0,14.5,12.9,,,,,,,,,,,,,,,,,,,
2018,39,제주특별자치도,제주특별자치도,제주특별자치도,P  ,38.1,41.6,24.5,24.8,15.2,16.7,25.4,27.3,4.7,4.5,38.6,26.5,7.1,6.6,26.6,29.0,,,,,,,,,,,2.0,,,201.0,30.6,27.3,158.0,47.8,43.6,43.0,13.2,11.2,,,,,,,,,,,,,,,,,,,
2019,0,전국,전국,전국,   ,,,,,,,,,,,39.9,28.2,,,,,,,,,,,,,,,,,,13799.0,26.9,22.6,9730.0,38.0,31.7,4069.0,15.8,14.0,,,,,,,,,,,,,,,,,,,
2019,11,서울특별시,서울특별시,서울특별시,A  ,42.0,44.5,31.3,31.9,20.2,20.8,25.8,27.2,6.5,6.5,41.6,29.5,11.1,10.9,26.4,25.7,,,,,,,,,,,,7.0,7.1,2151.0,22.5,18.7,1438.0,30.8,25.3,713.0,14.5,12.9,,,,,1.0,,,,,,,,,,,,,,
