year,code,sido,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2023,24000,광주광역시,광주광역시,광주광역시,46.6,50.8,23.8,24.7,7.5,7.0,,,,,,,,,,,25.3,25.4,,False
2023,25000,대전광역시,대전광역시,대전광역시,54.0,59.6,26.9,28.3,8.3,7.9,,,,,,,,,,,28.9,28.0,,False
2023,26000,울산광역시,울산광역시,울산광역시,41.0,45.1,23.7,25.8,8.6,8.6,,,,,,,,,,,21.2,20.8,,False
2023,29000,세종특별자치시,세종특별자치시,세종특별자치시,47.0,49.8,25.5,25.8,9.2,8.8,,,,,,,,,,,28.4,28.4,,False
2023,31000,경기도,경기도,경기도,44.0,47.4,26.3,27.7,7.8,7.7,,,,,,,,,,,27.8,28.7,,False
2023,32000,강원도,강원도,강원도,40.2,46.9,24.3,27.2,9.0,8.6,,,,,,,,,,,25.7,28.1,,False
2023,33000,충청북도,충청북도,충청북도,42.8,48.6,24.5,26.3,7.7,7.5,,,,,,,,,,,27.4,29.7,,False
2023,34000,충청남도,충청남도,충청남도,40.7,46.2,25.0,27.7,8.6,8.3,,,,,,,,,,,23.1,25.0,,False
2023,35000,전라북도,전라북도,전라북도,39.0,45.6,23.9,26.5,9.8,9.4,,,,,,,,,,,26.6,29.3,,False
2023,36000,전라남도,전라남도,전라남도,39.2,47.2,22.9,25.6,5.8,5.8,,,,,,,,,,,22.3,23.0,,False
2023,37000,경상북도,경상북도,경상북도,38.4,45.9,21.0,23.9,7.5,7.5,,,,,,,,,,,26.1,28.2,,False
2023,38000,경상남도,경상남도,경상남도,39.7,45.4,22.5,24.5,7.4,7.6,,,,,,,,,,,24.0,24.6,,False
2023,39000,제주특별자치도,제주특별자치도,제주특별자치도,46.5,51.9,22.5,23.5,5.0,5.1,,,,,,,,,,,37.3,35.9,,False
2024,0,전국,전국,전국,44.2,49.4,22.3,24.2,6.9,6.6,7.0,6.4,,,0.948,0.96,7.1,7.2,13.4,14.0,,,,True
2024,11000,서울특별시,서울특별시,서울특별시,47.8,51.6,24.0,25.9,7.5,7.3,6.6,6.3,,,0.95,0.959,7.1,7.2,15.5,15.8,,,,False
