dataset,variable,label,value,raw_n,raw_pct
HINTS7_2024,APP_REGION,Appalachian Subregion,,6876,0.9447650453421269
HINTS7_2024,APP_REGION,Appalachian Subregion,A,402,0.055234954657873044
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",1.0,5755,0.7907392140697994
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",2.0,481,0.06608958505083815
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",3.0,416,0.057158560043968125
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",6.0,320,0.04396812311074471
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",5.0,162,0.02225886232481451
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",4.0,115,0.01580104424292388
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",-9.0,29,0.003984611156911239
HINTS7_2024,Internet_Cell2,"B2a. When you use the Internet, do you connect to it through a cellular network ",1.0,5640,0.7749381698268755
HINTS7_2024,Internet_Cell2,"B2a. When you use the Internet, do you connect to it through a cellular network ",2.0,1271,0.17463588898048915
HINTS7_2024,Internet_Cell2,"B2a. When you use the Internet, do you connect to it through a cellular network ",-1.0,273,0.03751030502885408
HINTS7_2024,Internet_Cell2,"B2a. When you use the Internet, do you connect to it through a cellular network ",-9.0,47,0.006457818081890629
HINTS7_2024,Internet_Cell2,"B2a. When you use the Internet, do you connect to it through a cellular network ",-2.0,47,0.006457818081890629
HINTS7_2024,Internet_HighSpeed2,"B2b. When you use the Internet, do you connect to it through a service such as D",1.0,6063,0.8330585325638912
HINTS7_2024,Internet_HighSpeed2,"B2b. When you use the Internet, do you connect to it through a service such as D",2.0,845,0.11610332508931025
HINTS7_2024,Internet_HighSpeed2,"B2b. When you use the Internet, do you connect to it through a service such as D",-1.0,273,0.03751030502885408
HINTS7_2024,Internet_HighSpeed2,"B2b. When you use the Internet, do you connect to it through a service such as D",-9.0,50,0.006870019236053861
HINTS7_2024,Internet_HighSpeed2,"B2b. When you use the Internet, do you connect to it through a service such as D",-2.0,47,0.006457818081890629
HINTS7_2024,Electronic2_HealthInfo,B3a. In the past 12 months have you used the Internet to look for health or medi,1.0,5806,0.7977466336905743
